name,source,gender,wikidata,type
"56-osok tere",wikidata,,Q3242115;Q164348,relation+way
"Akácfa utca",wikidata,,Q472943,relation+way
"Akadémia utca",wikidata,,Q265058,relation
"Alkotás utca",wikidata,,Q163138,way
"Alkotmány utca",wikidata,,Q280654,relation+way
"Almássy tér",wikidata,,Q1498478,relation
"Almássy utca",wikidata,,Q1498478,relation
"Alpár utca",wikidata,,Q63456112,relation+way
"Anker köz",wikidata,,Q12813589,relation
"Aradi utca",wikidata,,Q173591,relation+way
"Aranykéz utca",wikidata,,Q775071,way
"Bakator utca",wikidata,,Q1236618,way
"Balaton utca",wikidata,,Q6383,relation
"Balatoni út",wikidata,,Q6383,way
"Bank utca",wikidata,,Q22687;Q774636,relation
"Barcsay utca",wikidata,,Q8530532,relation+way
"Bécsi utca",wikidata,,Q1741,way
"Bosnyák tér",wikidata,,Q940348,way
"Bosnyák utca",wikidata,,Q940348,way
"Budafoki út",wikidata,,Q525100,way
"Budakeszi út",wikidata,,Q842912,way
"Budaörsi út",wikidata,,Q755691,relation+way
"Ciprus utca",wikidata,,Q146911,way
"Cserhát utca",wikidata,,Q872024,relation
"Dalszínház utca",wikidata,,Q36833,relation
"Délibáb utca",wikidata,,Q308762,relation
"Drégelyvár utca",wikidata,,Q910327,way
Dunakorzó,wikidata,,Q1653,way
"Érdi utca",wikidata,,Q193050,way
"Fehérvári út",wikidata,,Q130212,relation+way
"Ferenciek tere",wikidata,,Q17123204,way
"Frangepán utca",wikidata,,Q943292,way
"Futó utca",wikidata,,Q47521,way
"Fővám tér",wikidata,,Q65680087,relation+way
"Fűrész utca",wikidata,,Q535087,way
"Gyarmat utca",wikidata,,Q789233,way
"Hamzsabégi út",wikidata,,Q193050,relation+way
"Harmincad utca",wikidata,,Q1034068,way
"Hegedű utca",wikidata,,Q8355,relation
"Hegyalja út",wikidata,,Q577122,relation
"Hercegprímás utca",wikidata,,Q315652,relation
"Hernád utca",wikidata,,Q846744,relation
"Hold utca",wikidata,,Q405,relation+way
"Honfoglalás út",wikidata,,Q4218,way
"Honvéd utca",wikidata,,Q158668;Q1161970,relation+way
"Jobbágy utca",wikidata,,Q103350,relation
"Késmárk utca",wikidata,,Q327977,way
"Késmárki utca",wikidata,,Q327977,way
"Királyhágó tér",wikidata,,Q1109098,way
"Királyhágó utca",wikidata,,Q1109098,way
"Kisköre tér",wikidata,,Q222242,way
"Kisköre utca",wikidata,,Q222242,way
"Köbölkút utca",wikidata,,Q601581,way
"Kolosy tér",wikidata,,Q25454735,way
"Krisztina körút",wikidata,,Q163138,way
"Kuruclesi út",wikidata,,Q281171,way
"Limanova tér",wikidata,,Q701677,way
"Ljubljana tér",wikidata,,Q437,way
"Losonci tér",wikidata,,Q728965,way
"Március 15. tér",wikidata,,Q2403,relation+way
"Ménesi út",wikidata,,Q339832,relation
"Mezőkövesd út",wikidata,,Q933638,way
"Moszkva sétány",wikidata,,Q649,way
"Murányi utca",wikidata,,Q609701,relation+way
"Múzeum utca",wikidata,,Q914141,relation
"Műegyetem rakpart",wikidata,,Q1186843,way
"Nagytétényi út",wikidata,,Q1215163,way
"Nagyvárad tér",wikidata,,Q93358,way
"Népszínház utca",wikidata,,Q25468481,way
"Nyugati tér",wikidata,,Q522868,relation+way
"Október 6. utca",wikidata,,Q699121,relation
Oktogon,wikidata,,Q166080,relation+way
"Önkéntes utca",wikidata,,Q1454940,way
"Pannónia utca",wikidata,,Q170062,way
"Pestújhelyi út",wikidata,,Q1233483,way
"Poprádi út",wikidata,,Q26393,way
"Pozsonyi út",wikidata,,Q1780,way
"Régi Fóti út",wikidata,,Q830652,way
"Rózsák tere",wikidata,,Q34687,relation
"Sajó utca",wikidata,,Q576032,relation+way
"Sas utca",wikidata,,Q2092297,relation+way
"Síp utca",wikidata,,Q2083491,relation+way
"Somló lépcső",wikidata,,Q743913,way
"Somlói út",wikidata,,Q743913,way
"Soroksári út",wikidata,,Q20656421,way
"Strázsa utca",wikidata,,Q680928,way
"Szabadság tér",wikidata,,Q2979,way
"Százados út",wikidata,,Q19100,way
"Szegfű utca",wikidata,,Q156099,relation+way
"Széna tér",wikidata,,Q336989,relation+way
"Szentmihályi út",wikidata,,Q1252499,way
"Szerencs utca",wikidata,,Q854996,way
"Szervita tér",wikidata,,Q792572,way
"Szigetvári utca",wikidata,,Q373542,way
"Szinva utca",wikidata,,Q925628,relation
"Szobi utca",wikidata,,Q429409,relation
"Szófia utca",wikidata,,Q472,relation+way
"Szörény utca",wikidata,,Q19753552,way
"Szövetség utca",wikidata,,Q154640,relation+way
"Szűz utca",wikidata,,Q261086,way
"Tárogató út",wikidata,,Q736874,way
"Tátra utca",wikidata,,Q194263,way
"Törökvész út",wikidata,,Q1328602,way
"Üllői út",wikidata,,Q933467,relation+way
"Uzsoki utca",wikidata,,Q929736,way
"Váci utca",wikidata,,Q207408,relation+way
"Vágóhíd utca",wikidata,,Q62017535,way
"Vajdahunyad utca",wikidata,,Q215719,way
"Városház utca",wikidata,,Q21565052,relation+way
"Városligeti fasor",wikidata,,Q427016,relation+way
"Vértanúk tere",wikidata,,Q6498826,way
"Vígszínház utca",wikidata,,Q897802,way
"Villányi út",wikidata,,Q657642,relation
"Visegrádi utca",wikidata,,Q548097,way
"Őr utca",wikidata,,Q680928,way
"1-es folyosó",,,,way
"1. utca",,,,way
"2-es terminál érkezés",,,,way
"2-es terminál indulás",,,,way
"2. utca",,,,way
"2A Terminal Indulás",,,,way
"2B Terminal Indulás",,,,way
"3-as folyosó",,,,way
"3. utca",,,,way
"4. utca",,,,way
"5. utca",,,,way
"500. utca",,,,way
"501. utca",,,,relation
"502. sor",,,,relation
"503. utca",,,,way
"504. utca",,,,way
"505. utca",,,,way
"506. utca",,,,way
"507. utca",,,,way
"508. utca",,,,way
"509. utca",,,,way
"510. utca",,,,way
"511. utca",,,,way
"512. utca",,,,way
"513. utca",,,,way
"514. utca",,,,way
"515. utca",,,,way
"516. utca",,,,way
"517. utca",,,,way
"518. utca",,,,way
"519. utca",,,,way
"520. utca",,,,way
"521. utca",,,,way
"522. utca",,,,way
"523. utca",,,,way
"524. utca",,,,way
"525. tér",,,,way
"526. sor",,,,way
"527. utca",,,,way
"528. utca",,,,way
"529. utca",,,,way
"530. utca",,,,way
"531. utca",,,,way
"532. utca",,,,way
"533. utca",,,,way
"534. utca",,,,way
"535. utca",,,,way
"536. utca",,,,way
"537. utca",,,,way
"538. utca",,,,way
"539. utca",,,,way
"540. utca",,,,way
"541. utca",,,,way
"542. utca",,,,way
"543. utca",,,,way
"544. utca",,,,way
"545. utca",,,,way
"563. utca",,,,way
"567. utca",,,,way
"575. utca",,,,way
"7-es folyosó",,,,way
"8-as folyosó",,,,way
"9-es folyosó",,,,way
"A magyarság útja",,,,way
"A szentháromság útja",,,,way
"A udvar",,,,way
"Aba utca",,,,way
"Abádi tér",,,,way
"Abádi utca",,,,way
"Abaliget utca",,,,way
"Abaújvár utca",,,,way
"Abavár utca",,,,way
"Ábel Jenő utca",,,,way
"Abigél utca",,,,way
"Abonyfalva utca",,,,way
"Abos lépcső",,,,way
"Abos utca",,,,way
"Ábra utca",,,,way
"Ábrahám Géza köz",,,,way
"Ábrahám Géza utca",,,,way
"Ábránd utca",,,,way
"Ábrányi Emil utca",,,,way
"Abroncs utca",,,,way
"Abrudbánya utca",,,,way
"Acélmű utca",,,,way
"Áchim András utca",,,,way
"Acsa utca",,,,way
"Acsády Ignác utca",,,,way
"Ada utca",,,,way
"Adács utca",,,,way
"Ádám utca",,,,way
"Ádámföldi utca",,,,way
"Adonis utca",,,,way
"Adony utca",,,,way
"Adorján köz",,,,way
"Adorján út",,,,way
"Adorján utca",,,,way
"Adria sétány",,,,way
"Adria utca",,,,way
"Ady Endre tér",,,,way
"Ady Endre utca",,,,way
"Ady lépcső",,,,way
"Aelia Sabina köz",,,,way
"Áfonya utca",,,,way
"Áfonyás utca",,,,way
"Ág utca",,,,way
"Aga köz",,,,way
"Aga utca",,,,way
"Ágacska köz",,,,way
"Agancs út",,,,way
"Agár utca",,,,way
"Agárdi út",,,,way
"Ágas utca",,,,way
"Aggteleki utca",,,,way
"Ágnes köz",,,,way
"Ágnes út",,,,way
"Ágoston Péter utca",,,,way
"Ágoston utca",,,,way
"Ágota utca",,,,way
"Agyag utca",,,,way
"Agyagbánya utca",,,,way
"Agyagdombi dűlő",,,,way
"Agyagfalva utca",,,,way
"Agyaghegyi dűlő",,,,way
"Agyaghegyi köz",,,,way
"Agyagos utca",,,,way
"Ágyás utca",,,,way
"Ajak utca",,,,way
"Ajándék utca",,,,way
"Ajka utca",,,,way
"Ajnácskő utca",,,,way
"Ajtony utca",,,,relation
